dataset,model,seed,accuracy,macro_f1,weighted_f1
digits,logreg,1,0.97493,0.97482,0.97487
digits,logreg,2,0.95265,0.95248,0.95254
digits,logreg,3,0.95265,0.95267,0.95273
digits,logreg,4,0.93872,0.93937,0.93935
digits,logreg,5,0.94986,0.94882,0.94907
digits,logreg,6,0.97214,0.97198,0.97198
digits,logreg,7,0.96936,0.96919,0.96931
digits,logreg,8,0.96657,0.96687,0.96694
digits,logreg,9,0.96100,0.96050,0.96059
digits,logreg,10,0.95265,0.95288,0.95295
digits,linear_svm,1,0.96657,0.96640,0.96641
digits,linear_svm,2,0.94986,0.94966,0.94972
digits,linear_svm,3,0.94986,0.94977,0.94980
digits,linear_svm,4,0.93036,0.93082,0.93094
digits,linear_svm,5,0.94708,0.94599,0.94629
digits,linear_svm,6,0.96379,0.96372,0.96370
digits,linear_svm,7,0.96379,0.96374,0.96393
digits,linear_svm,8,0.94429,0.94435,0.94421
digits,linear_svm,9,0.95822,0.95804,0.95800
digits,linear_svm,10,0.94708,0.94742,0.94740
digits,mlp,1,0.98329,0.98323,0.98327
digits,mlp,2,0.96936,0.96931,0.96946
digits,mlp,3,0.96936,0.96919,0.96927
digits,mlp,4,0.96657,0.96655,0.96654
digits,mlp,5,0.96936,0.96918,0.96933
digits,mlp,6,0.98607,0.98599,0.98611
digits,mlp,7,0.97772,0.97774,0.97779
digits,mlp,8,0.96936,0.96951,0.96958
digits,mlp,9,0.99164,0.99178,0.99168
digits,mlp,10,0.98050,0.98049,0.98052
digits,tanh_esn,1,0.87744,0.87790,0.87830
digits,tanh_esn,2,0.83565,0.83403,0.83445
digits,tanh_esn,3,0.83287,0.83139,0.83158
digits,tanh_esn,4,0.83287,0.83004,0.83048
digits,tanh_esn,5,0.83008,0.82799,0.82842
digits,tanh_esn,6,0.78273,0.77757,0.77825
digits,tanh_esn,7,0.84958,0.84742,0.84774
digits,tanh_esn,8,0.83008,0.82373,0.82423
digits,tanh_esn,9,0.82730,0.81713,0.81776
digits,tanh_esn,10,0.83008,0.82466,0.82530
drybean,logreg,1,0.91563,0.92927,0.91578
drybean,logreg,2,0.92584,0.93688,0.92604
drybean,logreg,3,0.92576,0.93506,0.92581
drybean,logreg,4,0.92463,0.93698,0.92466
drybean,logreg,5,0.92243,0.93556,0.92252
drybean,logreg,6,0.92480,0.93809,0.92496
drybean,logreg,7,0.91777,0.93030,0.91783
drybean,logreg,8,0.92687,0.93845,0.92693
drybean,logreg,9,0.92463,0.93407,0.92469
drybean,logreg,10,0.92243,0.93452,0.92257
drybean,linear_svm,1,0.91453,0.92761,0.91466
drybean,linear_svm,2,0.92695,0.93776,0.92719
drybean,linear_svm,3,0.92944,0.93875,0.92950
drybean,linear_svm,4,0.92537,0.93725,0.92535
drybean,linear_svm,5,0.92426,0.93780,0.92433
drybean,linear_svm,6,0.92406,0.93758,0.92416
drybean,linear_svm,7,0.91887,0.93184,0.91890
drybean,linear_svm,8,0.92650,0.93844,0.92656
drybean,linear_svm,9,0.92463,0.93385,0.92461
drybean,linear_svm,10,0.92463,0.93638,0.92481
drybean,mlp,1,0.92773,0.94024,0.92784
drybean,mlp,2,0.93502,0.94562,0.93519
drybean,mlp,3,0.93495,0.94455,0.93486
drybean,mlp,4,0.93235,0.94431,0.93229
drybean,mlp,5,0.93125,0.94416,0.93147
drybean,mlp,6,0.93727,0.94844,0.93724
drybean,mlp,7,0.92878,0.94087,0.92897
drybean,mlp,8,0.93642,0.94687,0.93635
drybean,mlp,9,0.93346,0.94292,0.93353
drybean,mlp,10,0.93529,0.94571,0.93539
drybean,tanh_esn,1,0.92406,0.93541,0.92424
drybean,tanh_esn,2,0.93245,0.94133,0.93254
drybean,tanh_esn,3,0.93569,0.94639,0.93563
drybean,tanh_esn,4,0.93125,0.94423,0.93122
drybean,tanh_esn,5,0.92647,0.94031,0.92666
drybean,tanh_esn,6,0.93177,0.94334,0.93184
drybean,tanh_esn,7,0.92805,0.94167,0.92819
drybean,tanh_esn,8,0.93238,0.94438,0.93236
drybean,tanh_esn,9,0.93272,0.94343,0.93271
drybean,tanh_esn,10,0.92831,0.93936,0.92855
